Dimension,Execution Time
1.000000,0.000070
2.000000,0.003620
3.000000,0.000130
4.000000,0.000160
5.000000,0.000190
6.000000,0.000270
7.000000,0.000370
8.000000,0.000450
9.000000,0.000620
10.000000,0.000720
11.000000,0.000870
12.000000,0.001020
13.000000,0.001230
14.000000,0.001410
15.000000,0.001640
16.000000,0.001840
17.000000,0.002120
18.000000,0.002390
19.000000,0.002680
20.000000,0.002980
21.000000,0.003230
22.000000,0.003560
23.000000,0.003850
24.000000,0.004250
25.000000,0.004620
26.000000,0.005050
27.000000,0.005430
28.000000,0.005890
29.000000,0.006420
30.000000,0.006760
31.000000,0.007310
32.000000,0.007850
33.000000,0.008340
34.000000,0.008990
35.000000,0.009460
36.000000,0.010060
37.000000,0.010670
38.000000,0.011290
39.000000,0.011910
40.000000,0.012660
41.000000,0.013260
42.000000,0.013990
43.000000,0.014810
44.000000,0.015560
45.000000,0.016280
46.000000,0.017060
47.000000,0.017940
48.000000,0.018790
49.000000,0.019630
50.000000,0.020460
51.000000,0.021550
52.000000,0.022250
53.000000,0.023410
54.000000,0.024280
55.000000,0.025230
56.000000,0.026230
57.000000,0.027320
58.000000,0.028220
59.000000,0.033250
60.000000,0.030550
61.000000,0.031580
62.000000,0.032740
63.000000,0.033899
64.000000,0.035220
65.000000,0.036440
66.000000,0.038600
67.000000,0.040100
68.000000,0.041240
69.000000,0.042800
70.000000,0.043820
71.000000,0.045319
72.000000,0.046700
73.000000,0.048340
74.000000,0.049790
75.000000,0.050910
76.000000,0.052710
77.000000,0.053940
78.000000,0.055789
79.000000,0.057280
80.000000,0.058720
81.000000,0.064380
82.000000,0.062290
83.000000,0.064050
84.000000,0.065279
85.000000,0.067380
86.000000,0.069320
87.000000,0.071330
88.000000,0.072660
89.000000,0.074840
90.000000,0.076679
91.000000,0.078780
92.000000,0.080680
93.000000,0.082540
94.000000,0.084480
95.000000,0.090189
96.000000,0.089480
97.000000,0.091790
98.000000,0.093130
99.000000,0.101329
100.000000,0.101970
101.000000,0.101280
102.000000,0.103320
103.000000,0.105819
104.000000,0.108510
105.000000,0.113750
106.000000,0.112399
107.000000,0.115790
108.000000,0.117760
109.000000,0.120199
110.000000,0.122500
111.000000,0.124840
112.000000,0.128229
113.000000,0.149520
114.000000,0.133750
115.000000,0.135949
116.000000,0.138370
117.000000,0.141580
118.000000,0.145319
119.000000,0.146710
120.000000,0.153809
121.000000,0.152430
122.000000,0.155570
123.000000,0.159829
124.000000,0.176560
125.000000,0.163639
126.000000,0.171680
127.000000,0.171419
128.000000,0.173840
129.000000,0.177209
130.000000,0.180730
131.000000,0.182449
132.000000,0.184840
133.000000,0.188839
134.000000,0.191740
135.000000,0.195319
136.000000,0.200610
137.000000,0.204369
138.000000,0.248160
139.000000,0.231599
140.000000,0.213870
141.000000,0.220049
142.000000,0.221169
143.000000,0.223850
144.000000,0.227699
145.000000,0.344529
146.000000,0.235300
147.000000,0.239289
148.000000,0.243159
149.000000,0.249810
150.000000,0.251149
151.000000,0.255290
152.000000,0.259959
153.000000,0.265919
154.000000,0.267849
155.000000,0.272000
156.000000,0.276269
157.000000,0.293599
158.000000,0.285169
159.000000,0.289810
160.000000,0.299289
161.000000,0.299329
162.000000,0.302869
163.000000,0.310120
164.000000,0.312719
165.000000,0.318469
166.000000,0.326859
167.000000,0.327369
168.000000,0.331959
169.000000,0.340209
170.000000,0.342450
171.000000,0.348249
172.000000,0.359209
173.000000,0.356829
174.000000,0.361929
175.000000,0.369009
176.000000,0.373109
177.000000,0.377639
178.000000,0.386189
179.000000,0.387989
180.000000,0.396179
181.000000,0.394989
182.000000,0.404188
183.000000,0.412429
184.000000,0.415069
185.000000,0.424149
186.000000,0.425999
187.000000,0.434419
188.000000,0.438279
189.000000,0.443579
190.000000,0.452879
191.000000,0.455849
192.000000,0.465309
193.000000,0.467639
194.000000,0.476349
195.000000,0.478998
196.000000,0.490729
197.000000,0.491949
198.000000,0.503068
199.000000,0.504359
200.000000,0.513729
201.000000,0.517488
202.000000,0.523119
203.000000,0.531269
204.000000,0.539868
205.000000,0.543199
206.000000,0.553308
207.000000,0.560169
208.000000,0.563348
209.000000,0.572259
210.000000,0.576159
211.000000,0.586008
212.000000,0.593988
213.000000,0.604629
214.000000,0.609738
215.000000,0.616719
216.000000,0.623728
217.000000,0.631758
218.000000,0.636139
219.000000,0.646158
220.000000,0.656178
221.000000,0.659998
222.000000,0.670599
223.000000,0.679208
224.000000,0.681188
225.000000,0.690158
226.000000,0.695078
227.000000,0.703729
228.000000,0.714398
229.000000,0.722278
230.000000,0.723698
231.000000,0.735268
232.000000,0.742708
233.000000,0.750238
234.000000,0.763738
235.000000,0.771988
236.000000,0.778488
237.000000,0.784058
238.000000,0.791678
239.000000,0.804908
240.000000,0.816478
241.000000,0.823548
242.000000,0.831807
243.000000,0.835698
244.000000,0.856518
245.000000,0.855108
246.000000,0.868998
247.000000,0.875588
248.000000,0.891598
249.000000,0.900747
250.000000,0.907148
251.000000,0.915418
252.000000,0.927667
253.000000,0.939108
254.000000,0.945018
255.000000,0.965287
256.000000,0.968577
257.000000,0.979918
258.000000,0.981897
259.000000,1.008007
260.000000,1.005518
261.000000,1.023377
262.000000,1.026427
263.000000,1.039318
264.000000,1.051917
265.000000,1.058627
266.000000,1.074227
267.000000,1.083567
268.000000,1.087418
269.000000,1.105177
270.000000,1.112717
271.000000,1.125307
272.000000,1.131467
273.000000,1.139787
274.000000,1.153057
275.000000,1.163577
276.000000,1.181157
277.000000,1.192417
278.000000,1.205807
279.000000,1.208947
280.000000,1.223026
281.000000,1.235507
282.000000,1.253357
283.000000,1.262496
284.000000,1.272687
285.000000,1.282627
286.000000,1.296096
287.000000,1.313447
288.000000,1.325596
289.000000,1.353787
290.000000,1.354586
291.000000,1.372807
292.000000,1.375866
293.000000,1.389847
294.000000,1.410676
295.000000,1.411726
296.000000,1.432476
297.000000,1.439567
298.000000,1.460346
299.000000,1.476026
300.000000,1.492046
301.000000,1.501756
302.000000,1.531136
303.000000,1.530006
304.000000,1.551386
305.000000,1.563506
306.000000,1.574556
307.000000,1.580146
308.000000,1.594586
309.000000,1.604386
310.000000,1.626095
311.000000,1.641816
312.000000,1.668176
313.000000,1.665485
314.000000,1.674676
315.000000,1.713855
316.000000,1.723946
317.000000,1.719455
318.000000,1.724855
319.000000,1.756655
320.000000,1.777246
321.000000,1.782445
322.000000,1.794445
323.000000,1.807696
324.000000,1.842315
325.000000,1.839995
326.000000,1.860515
327.000000,1.893745
328.000000,1.884015
329.000000,1.903105
330.000000,1.945865
331.000000,1.931945
332.000000,1.958305
333.000000,1.975275
334.000000,1.982805
335.000000,1.998785
336.000000,2.016194
337.000000,2.062735
338.000000,2.066905
339.000000,2.068624
340.000000,2.088665
341.000000,2.096264
342.000000,2.116305
343.000000,2.156104
344.000000,2.170735
345.000000,2.176415
346.000000,2.183354
347.000000,2.216574
348.000000,2.249214
349.000000,2.241424
350.000000,2.255275
351.000000,2.292344
352.000000,2.305344
353.000000,2.320364
354.000000,2.338514
355.000000,2.374394
356.000000,2.388644
357.000000,2.388024
358.000000,2.410863
359.000000,2.440954
360.000000,2.481014
361.000000,2.474663
362.000000,2.482834
363.000000,2.503363
364.000000,2.530193
365.000000,2.563304
366.000000,2.577843
367.000000,2.587003
368.000000,2.605323
369.000000,2.586184
370.000000,2.615563
371.000000,2.708003
372.000000,2.691413
373.000000,2.701103
374.000000,2.744843
375.000000,2.739393
376.000000,2.760792
377.000000,2.792073
378.000000,2.811573
379.000000,2.852962
380.000000,2.837973
381.000000,2.865743
382.000000,2.892972
383.000000,2.915862
384.000000,2.927143
385.000000,3.230752
386.000000,3.034833
387.000000,2.987752
388.000000,3.029422
389.000000,3.029142
390.000000,3.079412
391.000000,3.079002
392.000000,3.108822
393.000000,3.157772
394.000000,3.143601
395.000000,3.180802
396.000000,3.186982
397.000000,3.205281
398.000000,3.260602
399.000000,3.268882
400.000000,3.302631
401.000000,3.327332
402.000000,3.327101
403.000000,3.692981
404.000000,3.816709
405.000000,3.411031
406.000000,3.413472
407.000000,3.451511
408.000000,3.495061
409.000000,3.508080
410.000000,3.528291
411.000000,3.532401
412.000000,3.588370
413.000000,3.577181
414.000000,3.572010
415.000000,3.680390
416.000000,3.685601
417.000000,3.663291
418.000000,3.690300
419.000000,3.727570
420.000000,3.781000
421.000000,3.787711
422.000000,3.820680
423.000000,3.814680
424.000000,3.851610
425.000000,3.902720
426.000000,3.888839
427.000000,3.930180
428.000000,3.980710
429.000000,4.011269
430.000000,3.995810
431.000000,4.053579
432.000000,4.068099
433.000000,4.104140
434.000000,4.108239
435.000000,4.154219
436.000000,4.156229
437.000000,4.213339
438.000000,4.222069
439.000000,4.237159
440.000000,4.290319
441.000000,4.323889
442.000000,4.334408
443.000000,4.348729
444.000000,4.401438
445.000000,4.419829
446.000000,4.438359
447.000000,4.457218
448.000000,4.504058
449.000000,4.539528
450.000000,4.526759
451.000000,4.588467
452.000000,4.587379
453.000000,4.651137
454.000000,4.682098
455.000000,4.705988
456.000000,4.720967
457.000000,4.838127
458.000000,4.808068
459.000000,4.741688
460.000000,4.784187
461.000000,4.876337
462.000000,4.894198
463.000000,4.918967
464.000000,4.930467
465.000000,4.974407
466.000000,5.024537
467.000000,5.004907
468.000000,5.082136
469.000000,5.102497
470.000000,5.151387
471.000000,5.159116
472.000000,5.193687
473.000000,5.208926
474.000000,5.269456
475.000000,5.266317
476.000000,5.279876
477.000000,5.410726
478.000000,5.349286
479.000000,5.385486
480.000000,5.557355
481.000000,5.479776
482.000000,5.466536
483.000000,5.530775
484.000000,5.557896
485.000000,5.586195
486.000000,5.606255
487.000000,5.662186
488.000000,5.664585
489.000000,5.700105
490.000000,5.755605
491.000000,5.760815
492.000000,5.786205
493.000000,5.872424
494.000000,5.864655
495.000000,5.928415
496.000000,5.898374
497.000000,5.946334
498.000000,6.019004
499.000000,6.071414
500.000000,6.013884
501.000000,6.077284
502.000000,6.115634
503.000000,6.140004
504.000000,6.169144
505.000000,6.205254
506.000000,6.246784
507.000000,6.335254
508.000000,6.332153
509.000000,6.328844
510.000000,6.360313
511.000000,6.418253
512.000000,6.444833
513.000000,6.496363
514.000000,6.548003
515.000000,6.582113
516.000000,6.614292
517.000000,6.624363
518.000000,6.629323
519.000000,6.725712
520.000000,6.733363
521.000000,6.778812
522.000000,6.842372
523.000000,6.877692
524.000000,6.865022
525.000000,6.954872
526.000000,7.031902
527.000000,7.002901
528.000000,7.059672
529.000000,7.063391
530.000000,7.122212
531.000000,7.177411
532.000000,7.230851
533.000000,7.276821
534.000000,7.281971
535.000000,7.341421
536.000000,7.362160
537.000000,7.414041
538.000000,7.466810
539.000000,7.470821
540.000000,7.526650
541.000000,7.596120
542.000000,7.584250
543.000000,7.648340
544.000000,7.654030
545.000000,7.705130
546.000000,7.757180
547.000000,7.826449
548.000000,7.857299
549.000000,7.885860
550.000000,7.914309
551.000000,7.977939
552.000000,8.088339
553.000000,8.071530
554.000000,8.090819
555.000000,8.171089
556.000000,8.199418
557.000000,8.219279
558.000000,8.234459
559.000000,8.285938
560.000000,8.330818
561.000000,8.369848
562.000000,8.446378
563.000000,8.495648
564.000000,8.512888
565.000000,8.513938
566.000000,8.547518
567.000000,8.590328
568.000000,8.634408
569.000000,8.741917
570.000000,8.770477
571.000000,8.805217
572.000000,8.805127
573.000000,8.858247
574.000000,8.895217
575.000000,8.980757
576.000000,8.954297
577.000000,9.037986
578.000000,9.056036
579.000000,9.145366
580.000000,9.181236
581.000000,9.220006
